Title,Description,Score
Credit & Portfolio Analyst 3-  12013862,"Office Location / Address:   NY- 390 GREENWICH STREET 390 GREENWICH STREET NEW YORK NY 10013 USA - 11350\r\n \r\nEducation Level:   Bachelor's Degree\r\n \r\nShift:   Day Job\r\n \r\nEmployee Status:    Regular\r\n \r\nCiti, the leading global financial services company, has some 200 million customer accounts and does business in more than 100 countries, providing consumers, corporations, governments and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, and wealth management. Additional information may be found at www.citigroup.com or www.citi.com.\r\n \r\nKey Responsibilities:- The candidate will be an integral member of the FIRM Hedge Fund Credit Risk Team, and will be actively engaged in evaluating hedge fund credit risk by analyzing trading activity and ensuring Citi's exposure remains in-line with established risk guidelines.- Performing 'deep analytical dives' on the FIRM hedge fund portfolio, and preparing high-quality presentations to senior management.- Partner with colleagues in the business to on-board new hedge fund accounts.- Interacting with diverse groups across Risk, Business, Finance, Operations and Technology.- Stress testing of hedge fund portfolios.Development Opportunities:- Gain knowledge of hedge fund industry and risk management practices.- Develop understanding of financial market instruments and their inherent risks.- Opportunity to expand responsibilities with time and assist with risk coverage of FIRM Hedge Fund Portfolio",0.65679824
"ACCOUNTING A/R, Collections, AIA and Invoicing","ACCOUNTING  A/R, Collections, AIA and Invoicing. Must have Construction exp. Paid Health Insurance Benefits. EOE. Please e-mail resume with salary require ments to:\r\n Source - Newsday",0.65377104
Cash Accountant for North County,"Cash Accountant \r\rGrowing North County retail company is in search of an experienced Cash Accountant to manage complex accounting for multi-state locations. Looking for well-organized, detail-oriented, and proactive candidates to work on balance sheet reconciliation, income statement maintenance, journal entries, month end, and other accounting tasks. \r\rMust have intermediate to advanced Excel knowledge. Degree in Accounting, Finance, or related discipline required.  Industry background in banking, retail, service, or hospitality is a plus. \r\rCompany offers competitive compensation including health/dental/vision benefits, 401K, vacation, annual increases, recognition programs, and more.\r\rApply for immediate consideration. ",0.653157
Entry Level Grad - Accountant,Entry Level Graduate - Accounting or Finance Degree\r\rAccounts Payable\rAccounts Receivable\rBank reconciliations\rExcel Spreadsheets\rData entry\rCustomer Service\rCollections\rMonth End Close\rSales & Use Tax\rMust be a solid team player and looking to grow!,0.6520602
A/R & Accounting Specialist,"Accounts Receivable \r\rOur client is looking for new talent for their growing accounting team. \rThis position will focus on the Accounts Receivable functions. \rThe organization values trust and mutual respect, active teamwork \rand integrity throughout the company. \r\rThe opportunity is in NW Portland and is “Temp to Hire"". \r \r\r Responsibilities: \r\r\r\r    Ensure timely processing of customer lock-box cash receipts\r    Reconcile daily postings to the bank lock-box\r    Process customer credit card payments\r    Reconcile merchant services, bank activity and system postings\r    Accurately apply payments to customer accounts\r    Process account adjustments \r\r\r\r\r\r\r\r",0.64688784
Accounts Payable Specialist - Temp to Hire,"\rPosition:                      AP Specialist\r\rCompany Profile\r\r\rOur client is a biopharmaceutical company with a breakthrough technology to create the next generation of medicines.\r\rPrimary Responsibilities:\r\r* Maintain vendor master files which includes new vendor set-up in system, vendor statement reconciliation, and resolution and documentation of discrepancies and payment issues\r\r* Perform three-way match (invoice, purchase order, and receipt) for product purchases\r\r* Review, code, and process invoices, check requests, credit card statements, and credit memos ensuring accuracy and necessary approvals\r\r* Process and mail Accounts Payable checks weekly\r\r* Assist with month-end duties including timely close of accounts payable module and maintaining and reconciling the AP aging and received not invoiced reports\r\r* Maintain W-9s and prepare and distribute 1099s and other related tax forms\r\r* Self-assess use tax on purchases in accordance with California sales/use tax regulations\r\r* Review expense reports for compliance with travel and entertainment policy and process for payment via our online expense report system \r\r* Review and monitor timely preparation of monthly credit card reconciliation reports\r\r* Comply with relevant internal controls, policies, and procedures\r\r* Monitor and analyze specific AP operations, such as invoice research and follow up, problem documentation, and standardization of input.",0.6466353
Budget and Financial Analyst,"\rBudget and Financial Analyst will be responsible for conceptualizing, building, and maintaining financial models for business planning, analysis and control.  This person will report directly to the Senior Budget and Financial Analyst and work to provide business planning services to ### managers and staff.  These activities will include extensive quantitative analyses, such as business modeling, forecasting and market research and working closely with ###'s S+R team.  The ideal candidate will have excellent presentation and customer service skills and the confidence to work with senior management. Top notch Excel skills are also required.  Responsibilities may include, but will not be limited to, the following:  \r\r\r\rPrimary Responsibilities: \r \r\r    Perform quantitative analysis, including integrated Revenue/Expense analysis, projections, reports and presentations.\r    Investigate and understand key business issues behind the numbers, and provide clear, concise and timely analyses and recommendations.  Identify risks and opportunities in the financial projections.\r\r\r    Assists in the development and maintenance of strategic and medium range financial plans.  \r    Work on special projects as assigned to meet business needs.  This can include acquisition analysis, pricing analysis, and portfolio and market analysis.\r    Assists with the development of the annual budget, work with the finance team and budget managers to develop the annual budget strategy.\r    Work closely with the Accounting group to ensure that budget goals are communicated accurately and timely throughout the year.\r\r\r    Help to evaluate partnerships and relationships relevant to I###'s business model.\r    Identify financial trends and developments in the competitive environment.\r\r\r    Manipulate and transform data for analytical purposes.\r    Assist various departments with any financial modeling/forecasting or financial proposals.\r    Ensure that financial information is presented clearly, consistently and on time.\r    Explain and translate financial reports/documents to ### staff as needed.\r\r",0.64649016
Senior Oracle R12 Expert,"\rSENIOR ORACLE R12 EXPERT\r\rOur client a global technology company with self-service solutions for ATM machines and software, POS and Retail systems and airline check-in systems. Due to solid and stable growth, we are seeking to support our client by recruiting a Senior Level Oracle R12 expert to work as a permanent employee at our client’s headquarters in the northern area of Atlanta, Georgia.\rOur client’s Service Delivery environment will be a single global instance of Oracle Services Release 12. The application footprint includes the following Oracle CRM modules: Tele-service, Field Service, i-Support, Advanced Scheduler, Mobile Field Service, Spares Management, Depot Repair, Advanced Inbound Telephony, E-mail Center, and existing Service Logistics modules (Oracle Order Management, Inventory, Bill of Material, Work in Process, Purchasing, General Ledger, Accounts Payable, Accounts Receivable, and Fixed Assets).\r\r \r",0.64388436
"Analyst, Media Finance"," Description\r\n \r\n   Analyst, Media Finance  About Digitas  Founded in 1980, Digitas—one of the world’s leading digital marketing and media companies—is at the forefront of the new digital age. As an independent global network within the Paris-based Publicis Groupe, the world’s fourth largest communications group, Digitas is the first global digital network with offices in the USA, Europe, and Asia. Serving global marketing clients, we create brand experiences in digital and direct channels that engage and excite their customers. Through user-generated content, branded entertainment, digital video production, and social media programs and more, we tap into people’s passions and create loyal, motivated relationships.  Our people are at the top of their industry — inspiring innovation, creativity and results. We're artists, analysts, technologists, writers, and producers. We're passionate, creative, thoughtful, and above all, we are committed to our clients, inspired by their customers, excited by change, and fueled by a passion for collaboration and bold invention.   Summary  The Media Finance capability will be responsible for overseeing the media billing and reconciliation process, managing & improving the technology, tools and vendor relationships involved with media reconciliation and procurement, and ensure that campaign financial documents are correctly filed and updated according to compliance regulations. The Analyst of Media Finance will be responsible for day to day support and project management of Media Finance initiatives for a specific client(s).  The Analyst will play a central role in collaborating with Media, Media Finance, Accounts Payable and Client Finance teams on a daily basis. Areas of focus will include partnering with Media on monthly reconciliation efforts, tracking invoice reconciliation, reviewing financial data for irregularities and errors on a regular on-going basis, confirming proper storage of key financial documents, and providing regular feedback to Media Finance manager and teams on reconciliation progress.   Detailed Description  >   Media Finance Team Key Responsibilities: •         Monthly media reconciliation support •         Manage invoice discrepancy resolution •         Perform regular campaign spot checks on financial documentation upkeep •         Organize bi-weekly meetings with team to discuss reconciliation •         Provide assistance on media billing questions  •         Manage terms & conditions set-up and negotiations on an agency, client, and campaign level >   Day to day contact with Media, Finance and Accounts Payable teams  >   Partner with Media to reconcile monthly campaign delivery – contact vendors, input data, track invoice payments, dispute invoice discrepancies, etc. >   Review campaign data on a weekly basis and meet regularly with team >   Confirm that financial contracts are being stored accurately  >   Become familiar with planning tool and process, procurement system and billing process, and training document documentation >   Assist teams with troubleshooting billing issues and errors  >   Other Functions That May Be Required:  •         Support Digitas philosophy  •         Adhere to Digitas policies and procedures  •         Support and attend relevant training and shared learning sessions  •         Participate in agency and/or departmental task forces  •         Promote positive working relationships within the department, the company and the vendor community  •         Establish trust and credibility with clients  Qualifications  >   At least one year experience at an agency in a relevant field:  media planning/buying /operations, or finance/accounts payable >   Bachelor’s degree required (exceptions made on a case by case basis) >   Skills: •         Effective time management skills  •         Proficient in MS office suite (MS Excel, MS Word, MS PowerPoint) •         Comfortable with technology and computers •         Ability to multi-task •         Proficient in managing numbers >   Traits & Distinguishing Characteristics •         Team player •         Strong leadership qualities •         Detail oriented •         Highly organized •         Strong interpersonal skills •         Self motivator •         Problem solver •         Fiscally responsible For more information, visit www.digitas.com  EOE",0.64269924
"Accounts Payable Associate – Allentown, PA","Accounts Payable Associate – Allentown, PA\r\rFast growing medium-size food manufacturer has an immediate need for a full time Accounts Payable Associate. \r\rJob Responsibilities:  \r• Process high volume of invoices on a timely basis with limited supervision.\r• Match and audit all invoices with the corresponding receivers\r• Verify purchase order, items, quantities, unit price, g/l account numbers are correct\r• Obtaining proper authorization for Non PO invoices\r• Responsible for timely payment of invoices \r• Process check runs  \r• Assist vendors with any payment issues and or problems in a timely manner\r• Strong analytical skills for problem solving\r• Various projects as requested\r• Ability to interact with all levels of staff and management\r\r\r",0.64127994
$41-43k P/Y-Jr Accountant,"Cypress, CA: Well known Defense and Aerospace that specializes in  research and development for government, military, and industrial clients is looking to hire a Junior Accountant.  Their ideal candidate: Perform general accounting processes for a small government contractor.  Candidate will be familiar with (AR, AP, GL), and will perform government accounting processes, and data entry.  The preferred candidate will have a 4 year accounting degree or equivalent experience.  Good communication skills, and writing skills, with a solid knowledge and use of Excel.  If you meet the listed requirement, please submit your resume ASAP for quick consideration.  We are an equal employment opportunity employer.",0.63806796
Accountant for Real Estate Property Management Group,Accountant will be part of a team responsible for the accurate reporting to various banking institutions and Commercial Real Estate Owners. \r \rResponsibilities Include:\r \r\r    Full Financial Statement Reporting\r    Maintain General Ledger\r    Perform Account Reconciliations and Analyses\r    Prepare Journal Entries\r    Prepare all support papers\r    Set up entities on MRI database for Financial Reporting\r    Responsible for month end close\r    Assist in preparation and review annual budgets with Managers \r,0.63500404
HR COORDINATOR II - BENEFITS,"Catholic Charities of Brooklyn & Queens is currently seeking an HR Coordinator within the Benefits Division of our Human Resources Department.  \r \rThe ideal applicant will possess previous HR related benefits experience along with a Bachelor’s Degree or Associate’s Degree, preferably in Human Resources Management or similar degree program with 1 – 3 years’ experience in related benefits administration.  \r \rCrucial skills needed for this role include the ability to consistently meet daily, weekly, and monthly deadlines, oral and written communication skills, strong analytical, mathematical, and organizational skills, proficiency in MS Word and Excel, & experience with an HRIS system or similar database programs preferred.\r \rWe offer a competitive salary & comprehensive benefit package including pension and health insurance.\r \rFor more information on our organization, please visit our website at www.ccbq.org. \r \rResponsibilities Include:\r \r\r    Preparing and submitting NYS Statutory Disability claims to insurance carriers and Following up with managers/supervisors, and claimant to obtain required information for claims. \r    Preparing and submitting Workers’ Compensation Claims to insurance carrier and following up with managers/supervisors/employees to obtain claim documentation, as well as providing information to third-party administrator as required, and completing and submitting third party reports as required. Identifying new employees eligible for benefits. Sending invitations to monthly benefit induction. \r    Processing and inputting enrollments, changes, and contacting employees to obtain, confirm, and update required information in Ceridian HRIS and vendor systems.\r    Updating and maintaining benefit data for employee’s benefits in HRIS.  \r    Assisting with verifying employee’s eligibility for Family and Medical Leave of Absence and preparing packages for FMLA and NYS Disability benefits and forwarding to employee for completion.\r    Assisting with disseminating applicable materials for new enrollments, annual open enrollment, and processing benefit changes.\r    Completing benefits census data and/or benefit surveys during annual renewals and as requested.\r    Responding to employee inquiries and providing information as necessary regarding benefit plans.\r    Corresponding with insurance carriers to provide assistance as needed to resolve problems.\r    Assisting with COBRA administration & serving as a back-up to Earn Benefits Specialist.\r\r \rQualified individuals should submit resumé with cover letter indicating salary requirements to:\r \rRick Tomlinson, Office of Human Resources\r191 Joralemon Street, Brooklyn, NY 11201\rFAX: 718-722-6189\rEMAIL: Rtomlinson@ccbq.org\r \rCatholic Charities Brooklyn and Queens sees its mission as promoting unity among all persons by seeking to develop caring communities. To fulfill our commitment to providing humane social services to all our neighbors, Catholic Charities sponsors 183 programs and services throughout the boroughs of Brooklyn & Queens. Our Catholic Charities Community Centers are located throughout Brooklyn & Queens to provide a wide array of services to support families and individuals as well as serve as a gateway to all Catholic Charities' programs and services.\r \rCatholic Charities Brooklyn & Queens is an Equal Opportunity/Affirmative Action Employer.  The Agency is committed to fostering a diverse, multicultural work environment where our employees respect one another and share a commitment to our Agency’s values, mission and strategies.  Catholic Charities Brooklyn & Queens provides equal employment to all employees without regard to race, color, religion, gender, national origin, age, disability, sexual orientation, veteran or marital status.",0.6347638
ACCOUNTS PAYABLE CLERK / HOSPITAL BACKGROUND,ACCOUNTS PAYABLE CLERK / HOSPITAL BACKGROUND:\r\rQUALIFIED INDIVIDUAL NEEDED FOR WORK AS ACCOUNTS PAYABLE CLERK / HOSPITAL BACKGROUND\r\r\r    LONG-TERM TEMPORARY\r    IMMEDIATE HIRE\r    $16.00 / HOUR\r    HEALTH INSURANCE SIGN-UP AVAILABLE \r\rJOB DUTIES:\r\r\r\r    PROCESS INVOICES\r    BUDGETING\r    GENERAL LEDGER\r    DATA ENTRY\r    BANK RECONCILIATION \r,0.63425374
Staff Accountant - Contract to Hire - Immediate Need!,"Search Synopsis – April 26, 2012\r\r\r\r\rPosition:                                Staff Accountant \r                \r\r\rCompany Profile\r\rOur client is a NYSE copmany headquartered in San Diego, CA.\r\r\rResponsibilities\r\rThe Staff Accountant will report to the Controller.  Responsibilities will include:\r \r\r    Participate in the preparation of various financial statements and reports, participate in cost analyses and in internal audits involving review of accounting and administrative controls along with preparation of external audit materials and external financial reporting. \r    Engage in the more critical and confidential aspects of accounting, assisting in the development of policies, systems, special financial studies, etc. of major importance. \r    Analyze and resolve complex accounting issues, financial information detailing assets liabilities and capital. \r    Prepare balance sheet, income statement and other reports. \r\r\r.  ",0.63245255
File Reviewer (Mortgage Loan Document Specialist)," Loan File Reviewer (Loan Document Specialist) \r\n\r\nDESCRIPTION: \r\n\r\nReviews closed loans for compliance with state laws, federal regulations and CMMC policies and procedures . Reviews multistate documents and resolves all problems. \r\n\r\nThe Custody Foreclosure Support Review Specialist will be responsible for reviewing loans for Chain of Title. \r\n\r\nREQUIREMENTS: \r\n\r\nPreferred - one year Mortgage Banking experience \r\nPreferred - Proficient user knowledge of Chase servicing systems \r\nPreferred - Knowledge of the Custodial Servicing SystemWinCMSS \r\nPreferred - Knowledge of custodial documents \r\nExcellent Verbal & Written Communication Skills \r\nProficient PC knowledge (Excel, Word, Internet) \r\nExcellent customer service skills \r\nExcellent Time Management skills \r\nExcellent Negotiation Skills \r\nExcellent Organizational Skills \r\nExcellent Interpersonal Skills \r\nExcellent Teamwork Skills \r\nAbility to develop and maintain relationships with internal and external clients \r\nAbility to interact with all levels of Management both internally and externally \r\nExtensive Analytical Skills \r\nStrong Leadership skills",0.6306418
"Senior Accountants, Finance & CPA- Needed Great Opportunity","Senior Accountants, CPA and Finance professionals, last chance to apply! MIT Group has several phenomenal, permanent opportunities with great companies in Northern Virginia and DC area. We currently have many different positions available",0.62720037
Staff Accountant/Senior Accountant," \rWe are working with several companies in the area looking for both temp to perm and permanent staff and senior accountants.  Some of the duties may include.\r \r• Accounting, financial reporting, and analysis . \r• Perform accounting functions necessary to achieve an accurate and timely general ledger \r  month-end close.  \r• Assist corporate tax group in compliance with tax laws by providing calculations for tax   \r  depreciation, tax basis in assets retired, and additions. \r• Fixed Assets experience\r• Preparation of monthly/quarterly schedules for the company in accordance with GAAP \r• Experience with multiple company structure and consolidation. \r• Demonstrated ability to communicate with all levels of internal and external customers. \r• Ability to work independently in team oriented culture. \r• Experience in a fast paced environment. ",0.62529457
Automotive Tag and Title Clerk,"Gwinnett CDJR, part of Five Star Auto is now hiring for an Automotive Tag and Title Clerk. \r\r\rJob Duties include, but not limited to;\r\r             Oversee all Title Work. \r             Check for accuracy of paperwork from sales consultants and F&I managers. \r             Prepare all title work for wholesale deals \r             Compile and process contracts with Financial Institutes \r             Cut checks for out of state taxes on purchased vehicles \r             Administering the supply of plates, cards, and stickers for tag orders Prepare and mail tags to customers if needed.   \r\r ",0.6173242
A/R - Cash Application Specialist,"A very large company with lots of growth potential is looking to add a strong Accounts Receivable Specialist to their team right away.  The A/R Specialist will be responsible for cash application, collecting on delinquent accounts, invoicing, debits, credits, researching discrepancies, and other projects as assigned.  \r \rDuties/Responsibilities:\r \r\r    Apply cash from lock boxes\r    Match invoices to packing list\r    Mail and file invoices\r    Collection calls on delinquent accounts\r    Work with salespeople on accounts\r    Issue credits and debits\r    Obtain credit references for new and existing customers\r    Confirm fight costs; add and remove when needed \r\r \rFor additional opportunities, please visit our website at www.cfstaffing.com",0.6173087
REAL ESTATE SALES ASSOCIATE / SALES REPRESENTATIVE,"Weichert, Realtors has grown from a single sales office into one of the nation's leading providers of homeownership services by putting its customers first. A family of full-service real estate and financial services companies, Weichert offers today’s real estate customer a complete menu of services that includes helping customers buy and sell both residential and commercial real estate, and streamlining the delivery of mortgages as well as home and title insurance.\r \rIf you would like to be part of a company who values their sales people as their most important competitive edge, consider a real estate sales career with Weichert!\r \rJob Description: \r \rOur Real Estate Sales Associates are passionate about their work and love what they do because it is rewarding.  They build lifelong relationships with people in their local community and help them through the process of making the most important purchase of their lives.  Our sales associates also find the unique aspects of this job to be very appealing.  A career in real estate sales offers several perks that a regular corporate position cannot, such as: \r\r\r\r    Flexibility in schedule and setting your own hours; you can choose to work full-time or part-time \r    Control over your income and ability to set goals for what you want to earn \r    Ability to work independently and be your own boss, but with the benefit of a strong and successful sales organization supporting your efforts \r    An opportunity to become an entrepreneur without having to make a large investment in order to get started \r\r \rThere are also several options for how to get started in real estate.  Some people are able to jump in headfirst and start out as full-time sales associates, while others are looking to transition into real estate from another industry and would prefer to start out part-time.  At Weichert, we offer a way for anyone who is interested in starting a real estate sales career to join our company.\r \rSpecific Responsibilities Include: \r \rAt Weichert, we take real estate sales and training seriously. Our standards and expectations are high, and our real estate sales associates are committed to the highest standards in the industry. Here is what we expect from our real estate sales associate team:\r\r\r\r    Attend our award winning sales training program that consists of in-class and online courses designed to get you closing business quickly \r    Build a client base through various marketing and networking activities \r    Take advantage of our Weichert tools and sales programs that will help you build your business such as our Open House program and our advanced lead generation system \r    Participate in weekly sales meetings and other office activities to stay connected and up-to-date on available properties and new potential clients in your local area \r    Provide a high level of customer service to all clients and maintain solid relationships with past clients to generate additional referral business \r",0.6155633
CPA: Accountant  (Cost Accounting & Excel),"CPA: Accountant  MUST have 4 year College Degree.\r\rMUST have Strong Excel  (Yes or No)?\r\rMUST have Strong Cost Accounting  (Yes or No?\r\rMUST HAVE ""COST of Analyzing 'Goods' & working with 'Margins""  (Yes or No)?\r\rMust  HAVE ""Gross Margin Analysis"" (Yes or No?)\r\rBig ""4"" Experience a PLUS.\r\rGreat attitude.\r\rStrong with V Look Up & ""IF"" Statements.\r\rPrepare ""Product""  gross margin analysis & income statement for multiple Product terminals.\r\rWork with Product operations to explain variances between Plan to Actual * forecast to Actual.\r\rReview Billing  billing & cost of goods sold.\r\rReport sales by BOL & distribute rreports to operations & tax accounting.\r\rReview operating expenses & expenses allocated to ""Product"".\r\rTrack hydrolene & flux railcars received and recrod related freight accruals.\r\rInitiate payment for asphalt (Product)  purchases\r\rPrepare and record Wright profit sharing calculation.\r\rReconcile asphalt & non-stock inventory.\r\rReconcile the asphalt trade receivable in the sub-ledger to the general ledger.\r\rPrepare account reconciliations for asphalt accounts\r\rUpdate asphalt index for asphalt contracts each month.\r\rPrepare asphalt PBC for KPMG\r\rCalculate transfer price for hydrolene & flux.\r\rReconcile intersegment/intrasegment asphalt sales\r\rAssist Manager with the preparation of asphalt segment data SEC 7 IFRS reporting\r\r4+ years Public Accounting\r\rStrong Excel Skills (Word & Power Point)\r\rJDE, World Writer, FASTR, & Query report writing experience.\r\r20% travel (U.S. Only)\r",0.6129181
Senior Accountant / Financial Analyst,"Applies principles of accounting to make entries to the General Ledger and analyze financial information and prepare financial reports for use in management decision making.         \rOn a regular basis, the position is responsible for the following:\r \r\r    Maintenance of general ledger/balance sheet for the US and Canada, including but not limited to account reconciliation, bank reconciliations, and auditor lead sheets.\r    Support the yearend audit process, along with interim reporting requirements to both HEN Belgium and Hanau, such as the year end and midterm reporting package.\r    Manage cash inflow and outflow activities for US and Canada.  This includes bank activities such as deposits, checks, ACH, and bank fees.  Reconcile daily activities to Corporate Sweep Account.  Resolve any issues between the bank and the general ledger. \r    Assist in the development and play and critical role in regular production of reports such as cost center expense analysis, monthly management book, product financial analysis, etc.\r    Serve as backup for Cost Accountant for month end closing processes\r    Actively participate in the identified succession planning program \r\r\r    Develop financial models and analyses to support strategic initiatives.\r    Analyze complex financial information and reports to provide accurate and timely financial recommendations to management for decision making purposes.\r    Assist with compilation and analysis of consolidated budgets and long range plans.\r    Analyze current and past trends in key performance indicators including all areas of revenue, cost of sales, expenses and capital expenditures.\r    Monitor performance indicators, highlighting trends and analyzing causes of unexpected variance.\r    Oversee and manage the continued development of Budgeting, Financial Forecasting, Operating Plan and Modeling tools. \r\rAdditionally, the position is responsible for the following: \r \r \r \r \r \r \r\r    Demonstrate on a continuing basis the professional and personal conduct described and required by Heraeus Electro-Nite’s Code of Conduct.\r    Operate in accordance and in full compliance with all applicable ISO standards, procedures and documentation.\r    Maintain utilities expenditures and usage report in accordance with ISO 14001 environmental requirements.  \r    Complete other tasks as assigned by supervisor. Participate in ad hoc finance projects and initiatives as directed.\r    Assist Sales and Marketing with Customer and Product Profitability \r\r ",0.6127549
Financial Advisor / Stock Broker And Trainees,"Looking for a wide range of Financial Advisors, Stock Brokers, Insurance Agents, Financial Planners, Wealth Managers, I represent a Broker Dealer who has expierienced a very high level of growth. They offer the best support system around. Willing to build a team around anyone who qualifies. Willing to give signing bonuses to people with books of business. They have the best training team in place for people who are looking to learn how to build a book of business. If you are licensed and want to join a great team or if you want to work independently contact me by phone 7327667115. Please only respond if you are serious\r\r \rLooking for highly motivated people who are looking for a career in the financial service industry.You must be willing to work hard and you must be a peoples person.No expierience needed. We will train you every step of the way. We are willing to sponsor for the series 7 series 63 and many others if you qualify. \r\rFull service, independent, brokerage firm, that offers a full range of products and services with the highest level of customer service.\r\r\rWe have experienced a tremendous level of growth throughout our company \r\r\rMust be highly motivated, Goal Oriented and Confident with Strong Communication Skills.  \r\r\r\r\r\r",0.61115223
Cost Accountant/ Financial Analyst,"The WVSG Recruitment team is currently seeking a Cost Accountant/ Financial Analyst for our client in Santa Clara, CA.\r\r\r\rOur client is a pioneer in creating breakthrough tools that are driving the genomic revolution. By applying the principles of semiconductor technology to the life sciences our client develops and commercializes systems that enable scientists to improve quality of life.\r\r\r\rThe Cost Accountant/ Financial Analyst will be responsible for costing accounting support for several operations groups within the organization. This position will also provide department spending support for these operations groups. He/she will also be responsible for, but not limited to, the following: \r\r\r\r\r    Participate in month-end close process by preparing journal entries and accruals.\r    Coordinate work order closures and reconcile manufacturing variances.\r    Be a business partner with operations and develop key financial metrics to track results.\r    Responsible for tracking, analyzing and reporting monthly P&L results.\r    Coordinate annual budgets and quarterly financial forecasts for areas of responsibility.\r    Participate in the quarterly and annual audit, including preparation of schedules and interfacing with auditors and provide meaningful analysis as required. This includes any SOX requirements.\r    Responsible for standard cost updates and review of standard costs for accuracy.\r    Special ad-hoc financial projects as needed. \r",0.60881275
Executive Sous Chef,"Anderson Country Club is currently searching for an experienced Executive Sous Chef\r\r\r\r Job Duties \r\r    Complete opening and closing checklists.\r    Refer to Daily Prep List at the start of each shift for assigned duties.\r    Prepares a variety of meats, seafood, poultry, vegetables and other food items for cooking in broilers, ovens, grills, fryers and a variety of other kitchen equipment.\r    Understands and complies consistently with our standard portion sizes, cooking methods, quality standards and kitchen rules, policies and procedures.\r    Portions food products prior to cooking according to standard portion sizes and recipe specifications.\r    Maintains a clean and sanitary work station area including tables, shelves, walls grills, broilers, fryers, pasta cookers, sauté burners, convection oven, flat top range and refrigeration equipment.\r    Closes the kitchen properly and follows the closing checklist for kitchen stations. Assists others in closing the kitchen.\r    Attends all scheduled employee meetings and brings suggestions for improvement. \r    Promptly reports equipment and food quality problems to Chef\r    Informs Chef immediately of product shortages.\r",0.60716724
Payroll / HR Associate,"A fast growing multi-state company is looking for a take-charge person to be their Payroll/HR Associate and to become part of our Accounting Business Team.  This position is a great opportunity for a motivated individual to grow within our organization.\r \rThe Payroll/HR Associate will serve as the primary resource in our Corporate Accounting/Payroll Department to support all aspects of payroll and HR functions as well as assisting in accounting and general office work.\r \rDuties include but are not limited to:\r \r\r    Process payroll for over 200+ employees in multi-state locations\r    Communicate with location managers and employees as necessary\r    Update employee information in the payroll system, including new hires, address changes, and terminations\r    Prepare new hire packets and paperwork for new employees\r    Maintain personnel, benefit, medical, and terminated files\r    Remove records of terminated employees from active files to terminated personnel file\r    File employee data/information in a prescribed manner, making sure that all files are complete and accurate\r    Keep HR Manager informed of any issues, problems or concerns related to employees\r    Create excel spreadsheets and word documents\r    Other duties as assigned, such as answering phones, ordering office supplies, mailing packages \r",0.60297185
ACCOUNTS  RECEIVABLE / CREDIT COORDINATOR - 3 OPENINGS,"ACCOUNTS RECEIVABLE / CREDIT COORDINATOR - 3 OPENINGS\r\r\rWe have three immediate opportunities for Accounts Receivable / Credi Coordinator with well known employers in the Kansas City area\r\rThe Accounts Receivable / Credit Coordinators will be responsible for a variety of accounting duties that include credit, collections, credit assessments and policies, cash applications, processing credit cards, customer service, updating and maintaining information in regards to credit and other duties as assigned within the accounting department. \r\rThe Accounts Receivable / Credit Coordinators must have 3+ years corporate Credit / Accounting experience. Candidates should have strong MS Word and Excel knowledge and strong communications skills\r\rExcellent opportunity with a very stable Kansas City company. Our exclusive client is interviewing immediately. Never a fee to applicants. ",0.5959428
ACCOUNTING / BOOKKEEPER,"ACCOUNTING BOOKKEEPER Busy accounting office is seeking an experienced bookkeeper. Must be proficient with Microsoft Excel, Word and Outlook. Quickbooks and payroll experience a big plus. \r\n\r\nPlease send resume to acctgofficejobs@gmail.com Source - Wichita Eagle",0.59506345
General Ledger Staff Accountant,"Once of our centrally located clients is looking for two Sr. level accountants. Both accounting positions are identical except one will have responsibilities for fixed assets and the other will not. \r\rJob Duties:\r\r    Account reconciliations\r    Month end, quarter end, and year end close\r    Process documentation\r    General Ledger\r\r ",0.5947207
Senior Accounting and Audit Associate,"Senior Accounting and Audit Associate - Chicago, IL\r \rWe have an exciting new employment opportunity for a Senior Accounting and Audit Associate in Chicago, Illinois.  The Accounting & Audit Senior Associate is responsible for providing high quality audit, review and compilation services.\r \rResponsibilities include \r\r    Financial statement preparation\r    Journal entries\r    Trial balances \r    Footnote preparation\r    Developing and maintaining solid client relationships\r    Organizing, scheduling, and managing client assignments and projects \r    Planning and supervising engagement teams\r    Managing multiple client assignments simultaneously\r    Drafting client reports\r    Performing a detailed review of the team’s work to ensure quality, thoroughness and completion of assignment tasks within agreed timeframes\r    Ensuring overall success of each project\r    Keeping abreast of latest developments as they affect GAAP \r    Coaching team members\r    Meeting client expectations\r    Actively supporting new initiatives\r    Identifying client’s needs in order to sell/cross-sell products & services\r    Continually building upon competency professional development\r    Sets an example of professionalism, enthusiasm, and high ethical standards\r\r \rKey Performance Indicators\r\r    Ability to coordinate and coach a team.\r    Ability to provide high quality audit, review and compilation services.\r    Ability to develop effective relationships with clients.\r    Meets assignment objectives (timeframes, budgets, outcomes).\r    Client satisfaction.\r    Accurate, efficient financial statement preparation.\r    Participation in recruitment, business planning and retention initiatives.\r\r \rCompensation will be generous, and will be based upon professional experience.",0.5931945
Real Estate CFO - $350K all in,"Prominent Los Angeles real estate investment firm is seeking a highly motivated, hard working real estate executive to direct and manage operations of the organization and all financial matters relating to its real estate and investment portfolio. ",0.5894615
